id,series,from,to
Connector_A_001,A,PwrE_Lukearm,RotW_Lukearm
Connector_A_002,A,RotW_Lukearm,FlxW_Lukearm
Connector_A_003,A,FlxW_Lukearm,OCHand_Lukearm
Connector_B_001,B,HybE_AxonArmErgo,RotW_AxonRotation
Connector_B_003,B,RotW_AxonRotation,OCHand_AxonHook
Connector_B_004,B,RotW_AxonRotation,MFHand_MichelangeloHand
Connector_B_005,B,RotW_AxonRotation,none
Connector_C_001,C,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic
Connector_C_002,C,HybE_ErgoArmElectronicplus,RotW_ElectronicWristRotator_MyoRotronic
Connector_C_003,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_SystemElectricHand
Connector_C_004,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_MyoHandVariPlusSpeed
Connector_C_005,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_SystemElectricGreifer
Connector_C_006,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_SensorHandSpeed
Connector_C_007,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_bebionic
Connector_C_008,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_ProPlusHand
Connector_C_009,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_ProPlusETD_ETD2
Connector_C_010,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_iLimbHands
Connector_C_011,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_AbilityHand
Connector_C_012,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_TASKA
Connector_C_013,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_VincentEvolution3
Connector_C_014,C,RotW_ElectronicWristRotator_MyoRotronic,none
Connector_C_015,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_CovviHand
Connector_C_017,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_Myo_Kinisi
Connector_C_018,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_AetherZeus
Connector_C_019,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_Adams_Hand
Connector_C_020,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_Esper_Hand
Connector_C_021,C,RotW_ElectronicWristRotator_MyoRotronic,OCHand_Genesis_Hand
Connector_D_001,D,PwrE_DynamicArm,RotW_ElectronicWristRotator
Connector_D_002,D,PwrE_DynamicArmPlus,RotW_ElectronicWristRotator
Connector_D_003,D,RotW_ElectronicWristRotator,OCHand_SystemElectricHand
Connector_D_004,D,RotW_ElectronicWristRotator,OCHand_MyoHandVariPlusSpeed
Connector_D_005,D,RotW_ElectronicWristRotator,OCHand_SystemElectricGreifer
Connector_D_006,D,RotW_ElectronicWristRotator,OCHand_SensorHandSpeed
Connector_D_007,D,RotW_ElectronicWristRotator,OCHand_bebionic
Connector_D_008,D,RotW_ElectronicWristRotator,OCHand_ProPlusHand
Connector_D_009,D,RotW_ElectronicWristRotator,OCHand_ProPlusETD_ETD2
Connector_D_010,D,RotW_ElectronicWristRotator,OCHand_iLimbHands
Connector_D_011,D,RotW_ElectronicWristRotator,OCHand_AbilityHand
Connector_D_012,D,RotW_ElectronicWristRotator,OCHand_TASKA
Connector_D_013,D,RotW_ElectronicWristRotator,OCHand_VincentEvolution3
