id,type,typeLabel,manufacturer,label,footnotes,partNumber,checkboxId
PwrE_DynamicArm,PwrE,Powered Elbow,Ottobock,DynamicArm,,(12K100N),Checkbox_PwrE_DynamicArm
PwrE_DynamicArmPlus,PwrE,Powered Elbow,Ottobock,DynamicArm Plus,,(12K110N),Checkbox_PwrE_DynamicArmPlus
PwrE_EspirePro,PwrE,Powered Elbow,Steeper,Espire Pro,,,Checkbox_PwrE_EspirePro
PwrE_Lukearm,PwrE,Powered Elbow,Mobius,Luke Arm,,,Checkbox_PwrE_Lukearm
PwrE_MotionE2Elbow,PwrE,Powered Elbow,Fillauer,Motion E2 Elbow,,(5010[094-101]),Checkbox_PwrE_MotionE2Elbow
PwrE_NoElbow,PwrE,Powered Elbow,,No Elbow,,,Checkbox_PwrE_NoElbow
PwrE_UtahArm3,PwrE,Powered Elbow,Fillauer,Utah Arm 3+,2,(50100[39-41]),Checkbox_PwrE_UtahArm3
HybE_AxonArmErgo,HybE,Hybrid Elbow,Ottobock,AxonArm Ergo,1,(12K501),Checkbox_HybE_AxonArmErgo
HybE_ErgoArmElectronicplus,HybE,Hybrid Elbow,Ottobock,ErgoArm Electronic Plus,1,(12K50),Checkbox_HybE_ErgoArmElectronicplus
HybE_ErgoArmHybridplus,HybE,Hybrid Elbow,Ottobock,ErgoArm Hybrid Plus,,(12K44),Checkbox_HybE_ErgoArmHybridplus
HybE_EspireHybrid,HybE,Hybrid Elbow,Steeper,Espire Hybrid,1,,Checkbox_HybE_EspireHybrid
HybE_Espire_Classic_Plus,HybE,Hybrid Elbow,Steeper,Espire Classic Plus,7,,Checkbox_HybE_Espire_Classic_Plus
HybE_MotionArmEL,HybE,Hybrid Elbow,Fillauer,Motion Arm EL,,(50101[42-44]),Checkbox_HybE_MotionArmEL
HybE_MotionArmML,HybE,Hybrid Elbow,Fillauer,Motion Arm ML,,(50101[39-41]),Checkbox_HybE_MotionArmML
HybE_UtahHybridArm,HybE,Hybrid Elbow,Fillauer,"Utah Hybrid Arm1,",,(50100[42-44]),Checkbox_HybE_UtahHybridArm
RotW_AxonRotation,RotW,Wrist Rotation,Ottobock,AxonRotation,,(95503),Checkbox_RotW_AxonRotation
RotW_ElectronicWristRotator,RotW,Wrist Rotation,Ottobock,Electric Wrist Rotator,,(10S17),Checkbox_RotW_ElectronicWristRotator
